system:time_start,ET GLDAS,ET MODIS 1km,ET MODIS 500m,ET Penman,ET CWatM,,ET GLDAS,ET MODIS 1km,ET MODIS 500m,ET Penman,ET CWatM,,,,,
2000,20.172,16.5,,,20.01629775,,1.681,1.375,,,1.668024813,,0.590974793,0.561144303,0.185644917,0.500644057
2001,18.095,16.158,11.206,21.069,18.06131213,,1.507916667,1.3465,0.933833333,1.75575,1.505109344,,0.590974793,,,
2002,17.935,15.075,10.786,20.797,17.90836226,,1.494583333,1.25625,0.898833333,1.733083333,1.492363521,,,,,
2003,17.263,14.626,11.79,19.439,13.82297337,,1.438583333,1.218833333,0.9825,1.619916667,1.151914448,,,,,
2004,20.625,16.691,13.496,22.417,17.84711141,,1.71875,1.390916667,1.124666667,1.868083333,1.487259284,,,,,
2005,21.589,16.227,13.132,21.955,18.9053105,,1.799083333,1.35225,1.094333333,1.829583333,1.575442542,,,,,
2006,21.629,17.563,13.495,23.653,22.0893845,,1.802416667,1.463583333,1.124583333,1.971083333,1.840782042,,,,,
2007,21.011,17.396,12.741,22.69,20.41021133,,1.750916667,1.449666667,1.06175,1.890833333,1.700850944,,,,,
2008,19.664,16.412,12.339,23.296,19.0982717,,1.638666667,1.367666667,1.02825,1.941333333,1.591522641,,,,,
2009,21.939,16.647,13.666,24.893,20.30964734,,1.82825,1.38725,1.138833333,2.074416667,1.692470612,,,,,
2010,25.705,19.84,14.755,26.947,22.96839115,,2.142083333,1.653333333,1.229583333,2.245583333,1.914032596,,,,,
2011,22.786,16.974,13.045,24.805,21.72759217,,1.898833333,1.4145,1.087083333,2.067083333,1.810632681,,,,,
2012,21.502,15.191,12.501,24.12,18.98005723,,1.791833333,1.265916667,1.04175,2.01,1.581671436,,,,,
2013,22.443,17.332,14.684,24.489,17.95297707,,1.87025,1.444333333,1.223666667,2.04075,1.496081422,,,,,
2014,22.279,16.429,12.041,27.781,21.01271983,,1.856583333,1.369083333,1.003416667,2.315083333,1.751059986,,,,,
2015,22.67,,11.113,27.605,19.44928754,,1.889166667,,0.926083333,2.300416667,1.620773961,,,,,
2016,19.511,,11.973,21.766,18.21261731,,1.625916667,,0.99775,1.813833333,1.517718109,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,1.791833333,1.375,1.05175,1.956208333,1.591522641,,,,,
,,,,,,,0.888209083,1.157471012,1.513213826,0.813575228,1,,,,,
